	x	v	cost	plan	vel	init_light
0	50.0	0.0	3.2611711369167384	[1.25]	[0.0, 5.0]	1
1	10.0	1.0	7.196188114268071	[1.75, 0.6499999999999999, 0.0, 0.0, 0.0]	[1.0, 6.0, 7.0, 7.0, 7.0, 7.0]	1
2	20.0	1.0	6.247566111827325	[1.75, 0.0, 0.0, 0.0]	[1.0, 6.0, 6.0, 6.0, 6.0]	1
3	30.0	1.0	5.159363960054291	[1.75, 0.0, 0.0]	[1.0, 6.0, 6.0, 6.0]	1
4	40.0	1.0	4.071161808281257	[1.75, 0.0]	[1.0, 6.0, 6.0]	1
5	50.0	1.0	2.8203219880308628	[1.2]	[1.0, 5.0]	1
6	10.0	2.0	6.861977109368342	[1.6, 0.6499999999999999, 0.0, 0.0, 0.0]	[2.0, 6.0, 7.0, 7.0, 7.0, 7.0]	1
7	20.0	2.0	5.913355106927596	[1.6, 0.0, 0.0, 0.0]	[2.0, 6.0, 6.0, 6.0, 6.0]	1
8	30.0	2.0	4.825152955154562	[1.6, 0.0, 0.0]	[2.0, 6.0, 6.0, 6.0]	1
9	40.0	2.0	3.7199644201275612	[1.05, 0.0]	[2.0, 5.0, 5.0]	1
10	50.0	2.0	2.4267556114366347	[1.05]	[2.0, 5.0]	1
11	10.0	3.0	6.514395394924337	[1.3499999999999999, 0.6499999999999999, 0.0, 0.0, 0.0]	[3.0, 6.0, 7.0, 7.0, 7.0, 7.0]	1
12	20.0	3.0	5.565773392483591	[1.3499999999999999, 0.0, 0.0, 0.0]	[3.0, 6.0, 6.0, 6.0, 6.0]	1
13	30.0	3.0	4.4775712407105575	[1.3499999999999999, 0.0, 0.0]	[3.0, 6.0, 6.0, 6.0]	1
14	40.0	3.0	3.3397911320248452	[0.8, 0.0]	[3.0, 5.0, 5.0]	1
15	50.0	3.0	2.003783453964864	[0.35]	[3.0, 4.0]	1
16	10.0	4.0	6.1123315745387705	[1.0, 0.6499999999999999, 0.0, 0.0, 0.0]	[4.0, 6.0, 7.0, 7.0, 7.0, 7.0]	1
17	20.0	4.0	5.163709572098025	[1.0, 0.0, 0.0, 0.0]	[4.0, 6.0, 6.0, 6.0, 6.0]	1
18	30.0	4.0	4.075507420324991	[1.0, 0.0, 0.0]	[4.0, 6.0, 6.0, 6.0]	1
19	40.0	4.0	2.9651513640277543	[0.44999999999999996, 0.0]	[4.0, 5.0, 5.0]	1
20	50.0	4.0	1.6055030234910257	[0.0]	[4.0, 4.0]	1
21	10.0	5.0	5.656408205719857	[1.2, 0.0, 0.0, 0.0, 0.0]	[5.0, 7.0, 7.0, 7.0, 7.0, 7.0]	1
22	20.0	5.0	4.716443376657915	[1.2, 0.0, 0.0, 0.0]	[5.0, 7.0, 7.0, 7.0, 7.0]	1
23	30.0	5.0	3.6623297443692797	[0.55, 0.0, 0.0]	[5.0, 6.0, 6.0, 6.0]	1
24	40.0	5.0	2.5741275925962457	[0.55, 0.0]	[5.0, 6.0, 6.0]	1
25	50.0	5.0	1.2932088086909266	[0.0]	[5.0, 5.0]	1
26	10.0	6.0	5.153193286821791	[0.6499999999999999, 0.0, 0.0, 0.0, 0.0]	[6.0, 7.0, 7.0, 7.0, 7.0, 7.0]	1
27	20.0	6.0	4.213228457759848	[0.6499999999999999, 0.0, 0.0, 0.0]	[6.0, 7.0, 7.0, 7.0, 7.0]	1
28	30.0	6.0	3.264606455319101	[0.0, 0.0, 0.0]	[6.0, 6.0, 6.0, 6.0]	1
29	40.0	6.0	2.1764043035460676	[0.0, 0.0]	[6.0, 6.0, 6.0]	1
30	50.0	6.0	1.0882021517730338	[0.0]	[6.0, 6.0]	1
31	10.0	7.0	4.685226245464305	[0.75, 0.0, 0.0, 0.0, 0.0]	[7.0, 8.0, 8.0, 8.0, 8.0, 8.0]	1
32	20.0	7.0	3.759859316247772	[0.0, 0.0, 0.0, 0.0]	[7.0, 7.0, 7.0, 7.0, 7.0]	1
33	30.0	7.0	2.819894487185829	[0.0, 0.0, 0.0]	[7.0, 7.0, 7.0, 7.0]	1
34	40.0	7.0	1.879929658123886	[0.0, 0.0]	[7.0, 7.0, 7.0]	1
35	50.0	7.0	0.939964829061943	[0.0]	[7.0, 7.0]	1
36	10.0	8.0	4.14884768508469	[0.0, 0.0, 0.0, 0.0, 0.0]	[8.0, 8.0, 8.0, 8.0, 8.0, 8.0]	1
37	20.0	8.0	3.3190781480677525	[0.0, 0.0, 0.0, 0.0]	[8.0, 8.0, 8.0, 8.0, 8.0]	1
38	30.0	8.0	2.4893086110508142	[0.0, 0.0, 0.0]	[8.0, 8.0, 8.0, 8.0]	1
39	40.0	8.0	1.6595390740338762	[0.0, 0.0]	[8.0, 8.0, 8.0]	1
40	50.0	8.0	0.8297695370169381	[0.0]	[8.0, 8.0]	1
41	10.0	9.0	3.7431230051078526	[0.0, 0.0, 0.0, 0.0, -0.85]	[9.0, 9.0, 9.0, 9.0, 9.0, 8.0]	1
42	20.0	9.0	2.991295503830889	[0.0, 0.0, 0.0, -0.85]	[9.0, 9.0, 9.0, 9.0, 8.0]	1
43	30.0	9.0	2.2394680025539255	[0.0, 0.0, -0.85]	[9.0, 9.0, 9.0, 8.0]	1
44	40.0	9.0	1.4876405012769625	[0.0, -0.85]	[9.0, 9.0, 8.0]	1
45	50.0	9.0	0.7358129999999989	[-0.85]	[9.0, 8.0]	1
46	10.0	10.0	3.3789991811437874	[0.0, 0.0, 0.0, 0.0, -0.9500000000000001]	[10.0, 10.0, 10.0, 10.0, 10.0, 9.0]	1
47	20.0	10.0	2.69933563585784	[0.0, 0.0, 0.0, -0.9500000000000001]	[10.0, 10.0, 10.0, 10.0, 9.0]	1
48	30.0	10.0	2.0196720905718935	[0.0, 0.0, -0.9500000000000001]	[10.0, 10.0, 10.0, 9.0]	1
49	40.0	10.0	1.3400085452859463	[0.0, -0.9500000000000001]	[10.0, 10.0, 9.0]	1
50	50.0	10.0	0.6603449999999992	[-0.9500000000000001]	[10.0, 9.0]	1
51	10.0	11.0	3.1063772201435493	[0.0, 0.0, 0.0, 0.0, -1.05]	[11.0, 11.0, 11.0, 11.0, 11.0, 10.0]	1
52	20.0	11.0	2.479146665107662	[0.0, 0.0, 0.0, -1.05]	[11.0, 11.0, 11.0, 11.0, 10.0]	1
53	30.0	11.0	1.8519161100717745	[0.0, 0.0, -1.05]	[11.0, 11.0, 11.0, 10.0]	1
54	40.0	11.0	1.2246855550358868	[0.0, -1.05]	[11.0, 11.0, 10.0]	1
55	50.0	11.0	0.5974549999999993	[-1.05]	[11.0, 10.0]	1
56	10.0	12.0	2.893573040143014	[0.0, 0.0, 0.0, 0.0, -1.1500000000000001]	[12.0, 12.0, 12.0, 12.0, 12.0, 11.0]	1
57	20.0	12.0	2.3053932801072605	[0.0, 0.0, 0.0, -1.1500000000000001]	[12.0, 12.0, 12.0, 12.0, 11.0]	1
58	30.0	12.0	1.7172135200715068	[0.0, 0.0, -1.1500000000000001]	[12.0, 12.0, 12.0, 11.0]	1
59	40.0	12.0	1.1290337600357532	[0.0, -1.1500000000000001]	[12.0, 12.0, 11.0]	1
60	50.0	12.0	0.5408539999999994	[-1.1500000000000001]	[12.0, 11.0]	1
61	10.0	13.0	2.6898417637674084	[0.0, 0.0, 0.0, -1.25, -1.1500000000000001]	[13.0, 13.0, 13.0, 13.0, 12.0, 11.0]	1
62	20.0	13.0	2.1412191758449386	[0.0, 0.0, -1.25, -1.1500000000000001]	[13.0, 13.0, 13.0, 12.0, 11.0]	1
63	30.0	13.0	1.5925965879224688	[0.0, -1.25, -1.1500000000000001]	[13.0, 13.0, 12.0, 11.0]	1
64	40.0	13.0	1.0439739999999988	[-1.25, -1.1500000000000001]	[13.0, 12.0, 11.0]	1
65	50.0	13.0	0.5031199999999995	[-1.25]	[13.0, 12.0]	1
66	10.0	14.0	2.5378135759077822	[0.0, 0.0, 0.0, -1.35, -1.25]	[14.0, 14.0, 14.0, 14.0, 13.0, 12.0]	1
67	20.0	14.0	2.0147110506051877	[0.0, 0.0, -1.35, -1.25]	[14.0, 14.0, 14.0, 13.0, 12.0]	1
68	30.0	14.0	1.4916085253025932	[0.0, -1.35, -1.25]	[14.0, 14.0, 13.0, 12.0]	1
69	40.0	14.0	0.9685059999999989	[-1.35, -1.25]	[14.0, 13.0, 12.0]	1
70	50.0	14.0	0.4653859999999994	[-1.35]	[14.0, 13.0]	1
71	10.0	15.0	2.3850116953368214	[0.0, 0.0, 0.0, -1.45, -1.35]	[15.0, 15.0, 15.0, 15.0, 14.0, 13.0]	1
72	20.0	15.0	1.8876871302245473	[0.0, 0.0, -1.45, -1.35]	[15.0, 15.0, 15.0, 14.0, 13.0]	1
73	30.0	15.0	1.390362565112273	[0.0, -1.45, -1.35]	[15.0, 15.0, 14.0, 13.0]	1
74	40.0	15.0	0.8930379999999989	[-1.45, -1.35]	[15.0, 14.0, 13.0]	1
75	50.0	15.0	0.4276519999999995	[-1.45]	[15.0, 14.0]	1
76	10.0	16.0	2.253261346020121	[0.0, 0.0, -1.55, -1.45, -1.35]	[16.0, 16.0, 16.0, 15.0, 14.0, 13.0]	1
77	20.0	16.0	1.7743976730100597	[0.0, -1.55, -1.45, -1.35]	[16.0, 16.0, 15.0, 14.0, 13.0]	1
78	30.0	16.0	1.2955339999999984	[-1.55, -1.45, -1.35]	[16.0, 15.0, 14.0, 13.0]	1
79	40.0	16.0	0.830147999999999	[-1.55, -1.45]	[16.0, 15.0, 14.0]	1
80	50.0	16.0	0.4024959999999996	[-1.55]	[16.0, 15.0]	1
81	10.0	17.0	2.127968570233138	[0.0, 0.0, -1.65, -1.55, -1.45]	[17.0, 17.0, 17.0, 16.0, 15.0, 14.0]	1
82	20.0	17.0	1.6677282851165685	[0.0, -1.65, -1.55, -1.45]	[17.0, 17.0, 16.0, 15.0, 14.0]	1
83	30.0	17.0	1.2074879999999988	[-1.65, -1.55, -1.45]	[17.0, 16.0, 15.0, 14.0]	1
84	40.0	17.0	0.7798359999999992	[-1.65, -1.55]	[17.0, 16.0, 15.0]	1
85	50.0	17.0	0.3773399999999996	[-1.65]	[17.0, 16.0]	1
86	10.0	18.0	2.015451411157845	[0.0, -1.75, -1.65, -1.55, -1.45]	[18.0, 18.0, 17.0, 16.0, 15.0, 14.0]	1
87	20.0	18.0	1.5659609999999984	[-1.75, -1.65, -1.55, -1.45]	[18.0, 17.0, 16.0, 15.0, 14.0]	1
88	30.0	18.0	1.138308999999999	[-1.75, -1.65, -1.55]	[18.0, 17.0, 16.0, 15.0]	1
89	40.0	18.0	0.7358129999999993	[-1.75, -1.65]	[18.0, 17.0, 16.0]	1
90	50.0	18.0	0.35847299999999965	[-1.75]	[18.0, 17.0]	1
91	10.0	19.0	1.905566999999998	[-1.8499999999999999, -1.75, -1.65, -1.55, -1.45]	[19.0, 18.0, 17.0, 16.0, 15.0, 14.0]	1
92	20.0	19.0	1.4779149999999985	[-1.8499999999999999, -1.75, -1.65, -1.55]	[19.0, 18.0, 17.0, 16.0, 15.0]	1
93	30.0	19.0	1.075418999999999	[-1.8499999999999999, -1.75, -1.65]	[19.0, 18.0, 17.0, 16.0]	1
94	40.0	19.0	0.6980789999999993	[-1.8499999999999999, -1.75]	[19.0, 18.0, 17.0]	1
95	50.0	19.0	0.3396059999999997	[-1.8499999999999999]	[19.0, 18.0]	1
96	10.0	20.0	1.7986539999999982	[-1.9500000000000002, -1.8499999999999999, -1.75, -1.65, -1.55]	[20.0, 19.0, 18.0, 17.0, 16.0, 15.0]	1
97	20.0	20.0	1.3961579999999987	[-1.9500000000000002, -1.8499999999999999, -1.75, -1.65]	[20.0, 19.0, 18.0, 17.0, 16.0]	1
98	30.0	20.0	1.0188179999999991	[-1.9500000000000002, -1.8499999999999999, -1.75]	[20.0, 19.0, 18.0, 17.0]	1
99	40.0	20.0	0.6603449999999994	[-1.9500000000000002, -1.8499999999999999]	[20.0, 19.0, 18.0]	1
100	50.0	20.0	0.3207389999999997	[-1.9500000000000002]	[20.0, 19.0]	1
101	10.0	21.0	1.6980299999999984	[-2.0500000000000003, -1.9500000000000002, -1.8499999999999999, -1.75, -1.65]	[21.0, 20.0, 19.0, 18.0, 17.0, 16.0]	1
102	20.0	21.0	1.3206899999999988	[-2.0500000000000003, -1.9500000000000002, -1.8499999999999999, -1.75]	[21.0, 20.0, 19.0, 18.0, 17.0]	1
103	30.0	21.0	0.962216999999999	[-2.0500000000000003, -1.9500000000000002, -1.8499999999999999]	[21.0, 20.0, 19.0, 18.0]	1
104	40.0	21.0	0.6226109999999994	[-2.0500000000000003, -1.9500000000000002]	[21.0, 20.0, 19.0]	1
105	50.0	21.0	0.3018719999999997	[-2.0500000000000003]	[21.0, 20.0]	1
106	10.0	22.0	1.6099839999999985	[-2.15, -2.0500000000000003, -1.9500000000000002, -1.8499999999999999, -1.75]	[22.0, 21.0, 20.0, 19.0, 18.0, 17.0]	1
107	20.0	22.0	1.2515109999999987	[-2.15, -2.0500000000000003, -1.9500000000000002, -1.8499999999999999]	[22.0, 21.0, 20.0, 19.0, 18.0]	1
108	30.0	22.0	0.9119049999999991	[-2.15, -2.0500000000000003, -1.9500000000000002]	[22.0, 21.0, 20.0, 19.0]	1
109	40.0	22.0	0.5911659999999994	[-2.15, -2.0500000000000003]	[22.0, 21.0, 20.0]	1
110	50.0	22.0	0.2892939999999998	[-2.15]	[22.0, 21.0]	1
111	50.0	0.0	3.2611711369167384	[1.25]	[0.0, 5.0]	2
112	10.0	1.0	9.984031172342954	[4.0, 0.9500000000000001, 1.05, 0.0, -1.05]	[1.0, 9.0, 10.0, 11.0, 11.0, 10.0]	2
113	20.0	1.0	6.881481100051402	[3.15, 0.0, 0.0, 0.0]	[1.0, 8.0, 8.0, 8.0, 8.0]	2
114	30.0	1.0	5.159363960054291	[1.75, 0.0, 0.0]	[1.0, 6.0, 6.0, 6.0]	2
115	40.0	1.0	4.071161808281257	[1.75, 0.0]	[1.0, 6.0, 6.0]	2
116	50.0	1.0	2.8203219880308628	[1.2]	[1.0, 5.0]	2
117	10.0	2.0	8.972135953499075	[3.85, 0.9500000000000001, 0.0, 0.0, -0.9500000000000001]	[2.0, 9.0, 10.0, 10.0, 10.0, 9.0]	2
118	20.0	2.0	6.2066389018737125	[2.25, 0.75, 0.0, 0.0]	[2.0, 7.0, 8.0, 8.0, 8.0]	2
119	30.0	2.0	4.825152955154562	[1.6, 0.0, 0.0]	[2.0, 6.0, 6.0, 6.0]	2
120	40.0	2.0	3.7199644201275612	[1.05, 0.0]	[2.0, 5.0, 5.0]	2
121	50.0	2.0	2.4267556114366347	[1.05]	[2.0, 5.0]	2
122	10.0	3.0	8.091120503662461	[3.5999999999999996, 0.0, 0.0, 0.0, -0.85]	[3.0, 9.0, 9.0, 9.0, 9.0, 8.0]	2
123	20.0	3.0	5.6232760266175275	[2.0, 0.0, 0.0, 0.0]	[3.0, 7.0, 7.0, 7.0, 7.0]	2
124	30.0	3.0	4.4775712407105575	[1.3499999999999999, 0.0, 0.0]	[3.0, 6.0, 6.0, 6.0]	2
125	40.0	3.0	3.3397911320248452	[0.8, 0.0]	[3.0, 5.0, 5.0]	2
126	50.0	3.0	2.003783453964864	[0.35]	[3.0, 4.0]	2
127	10.0	4.0	7.354818649151174	[2.4, 0.85, 0.9500000000000001, 0.0, -0.9500000000000001]	[4.0, 8.0, 9.0, 10.0, 10.0, 9.0]	2
128	20.0	4.0	5.172366745476828	[1.0, 0.6499999999999999, 0.0, 0.0]	[4.0, 6.0, 7.0, 7.0, 7.0]	2
129	30.0	4.0	4.075507420324991	[1.0, 0.0, 0.0]	[4.0, 6.0, 6.0, 6.0]	2
130	40.0	4.0	2.9651513640277543	[0.44999999999999996, 0.0]	[4.0, 5.0, 5.0]	2
131	50.0	4.0	1.6055030234910257	[0.0]	[4.0, 4.0]	2
132	10.0	5.0	6.240552269737956	[1.95, 0.85, 0.0, 0.0, -0.85]	[5.0, 8.0, 9.0, 9.0, 9.0, 8.0]	2
133	20.0	5.0	4.716443376657915	[1.2, 0.0, 0.0, 0.0]	[5.0, 7.0, 7.0, 7.0, 7.0]	2
134	30.0	5.0	3.6623297443692797	[0.55, 0.0, 0.0]	[5.0, 6.0, 6.0, 6.0]	2
135	40.0	5.0	2.5741275925962457	[0.55, 0.0]	[5.0, 6.0, 6.0]	2
136	50.0	5.0	1.2932088086909266	[0.0]	[5.0, 5.0]	2
137	10.0	6.0	5.605611220779156	[1.4, 0.85, 0.0, 0.0, -0.85]	[6.0, 8.0, 9.0, 9.0, 9.0, 8.0]	2
138	20.0	6.0	4.213228457759848	[0.6499999999999999, 0.0, 0.0, 0.0]	[6.0, 7.0, 7.0, 7.0, 7.0]	2
139	30.0	6.0	3.264606455319101	[0.0, 0.0, 0.0]	[6.0, 6.0, 6.0, 6.0]	2
140	40.0	6.0	2.1764043035460676	[0.0, 0.0]	[6.0, 6.0, 6.0]	2
141	50.0	6.0	1.0882021517730338	[0.0]	[6.0, 6.0]	2
142	10.0	7.0	4.981189330797196	[0.75, 0.85, 0.0, 0.0, -0.85]	[7.0, 8.0, 9.0, 9.0, 9.0, 8.0]	2
143	20.0	7.0	3.759859316247772	[0.0, 0.0, 0.0, 0.0]	[7.0, 7.0, 7.0, 7.0, 7.0]	2
144	30.0	7.0	2.819894487185829	[0.0, 0.0, 0.0]	[7.0, 7.0, 7.0, 7.0]	2
145	40.0	7.0	1.879929658123886	[0.0, 0.0]	[7.0, 7.0, 7.0]	2
146	50.0	7.0	0.939964829061943	[0.0]	[7.0, 7.0]	2
147	10.0	8.0	4.14884768508469	[0.0, 0.0, 0.0, 0.0, 0.0]	[8.0, 8.0, 8.0, 8.0, 8.0, 8.0]	2
148	20.0	8.0	3.3190781480677525	[0.0, 0.0, 0.0, 0.0]	[8.0, 8.0, 8.0, 8.0, 8.0]	2
149	30.0	8.0	2.4893086110508142	[0.0, 0.0, 0.0]	[8.0, 8.0, 8.0, 8.0]	2
150	40.0	8.0	1.6595390740338762	[0.0, 0.0]	[8.0, 8.0, 8.0]	2
151	50.0	8.0	0.8297695370169381	[0.0]	[8.0, 8.0]	2
152	10.0	9.0	3.7431230051078526	[0.0, 0.0, 0.0, 0.0, -0.85]	[9.0, 9.0, 9.0, 9.0, 9.0, 8.0]	2
153	20.0	9.0	2.991295503830889	[0.0, 0.0, 0.0, -0.85]	[9.0, 9.0, 9.0, 9.0, 8.0]	2
154	30.0	9.0	2.2394680025539255	[0.0, 0.0, -0.85]	[9.0, 9.0, 9.0, 8.0]	2
155	40.0	9.0	1.4876405012769625	[0.0, -0.85]	[9.0, 9.0, 8.0]	2
156	50.0	9.0	0.7358129999999989	[-0.85]	[9.0, 8.0]	2
