,v,dv,cost
0,0.0,1.0,12.628362136311067
1,0.0,2.0,6.409080877985459
2,0.0,3.0,4.439071595946043
3,0.0,4.0,3.5853810360496627
4,0.0,5.0,3.2611711369167384
5,0.0,6.0,3.3210341729675044
6,0.0,7.0,3.7354672023760056
7,0.0,8.0,4.585256098979196
8,0.0,9.0,6.055514069395112
9,0.0,10.0,8.176611357489342
10,0.0,11.0,11.353224494121582
11,0.0,12.0,15.822082114509906
12,1.0,-1.0,12.583702081002695
13,1.0,0.0,6.3173941589374865
14,1.0,1.0,4.292443584576711
15,1.0,2.0,3.3650227872555716
16,1.0,3.0,2.931052233748203
17,1.0,4.0,2.8203219880308628
18,1.0,5.0,2.982959656508223
19,1.0,6.0,3.465467343284707
20,1.0,7.0,4.392172489000587
21,1.0,8.0,5.811449060280728
22,1.0,9.0,8.011260400117482
23,1.0,10.0,11.197972591453741
24,1.0,11.0,15.5937023404287
25,2.0,-2.0,6.2827109999999795
26,2.0,-1.0,4.188474000000057
27,2.0,0.0,3.174254904105137
28,2.0,1.0,2.664151198364582
29,2.0,2.0,2.437835886468259
30,2.0,3.0,2.4267556114366347
31,2.0,4.0,2.648748651608494
32,2.0,5.0,3.180951730443284
33,2.0,6.0,4.071220885171603
34,2.0,7.0,5.521143669364876
35,2.0,8.0,7.7023062969505025
36,2.0,9.0,10.811746340139136
37,2.0,10.0,15.187086773028117
38,3.0,-3.0,4.188474000000057
39,3.0,-2.0,3.138211000000035
40,3.0,-1.0,2.509311000000014
41,3.0,0.0,2.1319732163951537
42,3.0,1.0,2.0037834539648633
43,3.0,2.0,2.0465823233339187
44,3.0,3.0,2.3011669371644894
45,3.0,4.0,2.803381539431698
46,3.0,5.0,3.6911981565517373
47,3.0,6.0,5.099824999831572
48,3.0,7.0,7.196072717035245
49,3.0,8.0,10.243105687894646
50,3.0,9.0,14.64474131908503
51,3.0,10.0,20.33777778083507
52,4.0,-4.0,3.138211000000035
53,4.0,-3.0,2.509311000000014
54,4.0,-2.0,2.094237
55,4.0,-1.0,1.7923649999999973
56,4.0,0.0,1.6055030234910255
57,4.0,1.0,1.6719425553368277
58,4.0,2.0,1.8991031167789232
59,4.0,3.0,2.3779228564433432
60,4.0,4.0,3.2079166794562033
61,4.0,5.0,4.522985288227259
62,4.0,6.0,6.5247312774826
63,4.0,7.0,9.51369344604371
64,4.0,8.0,13.548278427880124
65,4.0,9.0,19.335796524870638
66,5.0,-5.0,2.509311000000014
67,5.0,-4.0,2.094237
68,5.0,-3.0,1.7923649999999973
69,5.0,-2.0,1.5659609999999977
70,5.0,-1.0,1.396157999999998
71,5.0,0.0,1.2932088086909266
72,5.0,1.0,1.4859254408232117
73,5.0,2.0,1.896548889472085
74,5.0,3.0,2.6255110363373113
75,5.0,4.0,3.8231690248154555
76,5.0,5.0,5.7090515778596655
77,5.0,6.0,8.401390963162646
78,5.0,7.0,12.3757108139223
79,5.0,8.0,18.002722627570368
80,6.0,-6.0,2.094237
81,6.0,-5.0,1.7923649999999973
82,6.0,-4.0,1.5659609999999977
83,6.0,-3.0,1.396157999999998
84,6.0,-2.0,1.2515109999999983
85,6.0,-1.0,1.1383089999999985
86,6.0,0.0,1.0882021517730338
87,6.0,1.0,1.3933339705740186
88,6.0,2.0,1.990569987378512
89,6.0,3.0,3.0361217646071554
90,6.0,4.0,4.6638519424510285
91,6.0,5.0,7.19246456729629
92,6.0,6.0,10.93081172594681
93,6.0,7.0,16.090546380404923
94,6.0,8.0,22.889536348344826
95,7.0,-7.0,1.7923649999999973
96,7.0,-6.0,1.5659609999999977
97,7.0,-5.0,1.396157999999998
98,7.0,-4.0,1.2515109999999983
99,7.0,-3.0,1.1383089999999985
100,7.0,-2.0,1.0439739999999986
101,7.0,-1.0,0.9622169999999987
102,7.0,0.0,0.939964829061943
103,7.0,1.0,1.3661480973965525
104,7.0,2.0,2.1716118075989814
105,7.0,3.0,3.5723174159741875
106,7.0,4.0,5.813958816158899
107,7.0,5.0,9.123658368639749
108,7.0,6.0,13.736581784004525
109,7.0,7.0,20.53997369444268
110,8.0,-8.0,1.5659609999999977
111,8.0,-7.0,1.396157999999998
112,8.0,-6.0,1.2515109999999983
113,8.0,-5.0,1.1383089999999985
114,8.0,-4.0,1.0439739999999986
115,8.0,-3.0,0.9622169999999987
116,8.0,-2.0,0.8930379999999988
117,8.0,-1.0,0.8364369999999989
118,8.0,0.0,0.8297695370169381
119,8.0,1.0,1.3755732308467181
120,8.0,2.0,2.4589103395442797
121,8.0,3.0,4.290036029201853
122,8.0,4.0,7.099348269573324
123,8.0,5.0,11.44313586592261
124,8.0,6.0,17.31630292921891
125,9.0,-9.0,1.396157999999998
126,9.0,-8.0,1.2515109999999983
127,9.0,-7.0,1.1383089999999985
128,9.0,-6.0,1.0439739999999986
129,9.0,-5.0,0.9622169999999987
130,9.0,-4.0,0.8930379999999988
131,9.0,-3.0,0.8364369999999989
132,9.0,-2.0,0.779835999999999
133,9.0,-1.0,0.735812999999999
134,9.0,0.0,0.7518275012769634
135,9.0,1.0,1.4313201935623054
136,9.0,2.0,2.78326434857975
137,9.0,3.0,5.159361470469529
138,9.0,4.0,8.741844247753354
139,9.0,5.0,14.052532022063811
140,9.0,6.0,21.76589308957899
141,10.0,-10.0,1.2515109999999983
142,10.0,-9.0,1.1383089999999985
143,10.0,-8.0,1.0439739999999986
144,10.0,-7.0,0.9622169999999987
145,10.0,-6.0,0.8930379999999988
146,10.0,-5.0,0.8364369999999989
147,10.0,-4.0,0.779835999999999
148,10.0,-3.0,0.735812999999999
149,10.0,-2.0,0.6980789999999991
150,10.0,-1.0,0.6603449999999992
151,10.0,0.0,0.6796635452859471
152,10.0,1.0,1.5165763634640346
153,10.0,2.0,3.217240990620325
154,10.0,3.0,6.141552884111754
155,10.0,4.0,10.779955606073047
156,10.0,5.0,17.562573529203604
157,10.0,6.0,26.48420894225754
158,11.0,-6.0,0.779835999999999
159,11.0,-5.0,0.735812999999999
160,11.0,-4.0,0.6980789999999991
161,11.0,-3.0,0.6603449999999992
162,11.0,-2.0,0.6226109999999992
163,11.0,-1.0,0.5974549999999993
164,11.0,0.0,0.6272305550358875
165,11.0,1.0,1.6193088424932398
166,11.0,2.0,3.765665135074969
167,11.0,3.0,7.465439936314221
168,11.0,4.0,12.952638156272917
169,11.0,5.0,21.3671711501344
170,12.0,-5.0,0.6603449999999992
171,12.0,-4.0,0.6226109999999992
172,12.0,-3.0,0.5974549999999993
173,12.0,-2.0,0.5660099999999993
174,12.0,-1.0,0.5408539999999994
175,12.0,0.0,0.5881797600357537
176,12.0,1.0,1.787371202973991
177,12.0,2.0,4.347392050193423
178,12.0,3.0,8.90107565794212
179,12.0,4.0,15.720837338186938
180,12.0,5.0,25.333808116822514
181,13.0,-4.0,0.5660099999999993
182,13.0,-3.0,0.5408539999999994
183,13.0,-2.0,0.5219869999999994
184,13.0,-1.0,0.5031199999999995
185,13.0,0.0,0.5486225879224699
186,13.0,1.0,1.9664365021839594
187,13.0,2.0,5.097541927133763
188,13.0,3.0,10.402912770118538
189,13.0,4.0,18.685469496010906
190,13.0,5.0,30.53909521607171
191,14.0,-4.0,0.5219869999999994
192,14.0,-3.0,0.5031199999999995
193,14.0,-2.0,0.47796399999999944
194,14.0,-1.0,0.46538599999999947
195,14.0,0.0,0.5231025253025945
196,14.0,1.0,2.1503862615133977
197,14.0,2.0,5.898613037124616
198,14.0,3.0,12.364151645655117
199,14.0,4.0,22.204091193261473
200,15.0,-3.0,0.46538599999999947
201,15.0,-2.0,0.4465189999999995
202,15.0,-1.0,0.42765199999999953
203,15.0,0.0,0.49732456511227424
204,15.0,1.0,2.4099184407994856
205,15.0,2.0,6.85147796407384
206,15.0,3.0,14.465783144322913
207,15.0,4.0,25.928074624506905
208,16.0,-3.0,0.42765199999999953
209,16.0,-2.0,0.41507399999999955
210,16.0,-1.0,0.4024959999999996
211,16.0,0.0,0.47886367301006133
212,16.0,1.0,2.6852825073631723
213,16.0,2.0,7.858985286230067
214,16.0,3.0,17.01107740694615
215,16.0,4.0,30.440584177885533
216,17.0,-3.0,0.4024959999999996
217,17.0,-2.0,0.3899179999999996
218,17.0,-1.0,0.3773399999999996
219,17.0,0.0,0.46024028511656967
220,17.0,1.0,3.0264084128676747
221,17.0,2.0,9.08032952308801
222,17.0,3.0,19.745970544685864
223,17.0,4.0,35.23988400917279
224,18.0,-3.0,0.3773399999999996
225,18.0,-2.0,0.36476199999999964
226,18.0,-1.0,0.35847299999999965
227,18.0,0.0,0.4494904111578468
228,18.0,1.0,3.3905803857020014
229,18.0,2.0,10.378717687077685
230,18.0,3.0,22.633898555973285
231,18.0,4.0,40.249800849466865
232,19.0,-2.0,0.3458949999999997
233,19.0,-1.0,0.3396059999999997
234,19.0,0.0,0.4388087712557255
235,19.0,1.0,3.773250870652675
236,19.0,2.0,11.735158367235186
237,19.0,3.0,25.627672153188932
238,20.0,-2.0,0.3270279999999997
239,20.0,-1.0,0.3207389999999997
240,20.0,0.0,0.42809358140674336
241,20.0,1.0,4.168490582212631
242,20.0,2.0,13.437143458091313
243,21.0,-2.0,0.30816099999999974
244,21.0,-1.0,0.30187199999999975
245,21.0,0.0,0.4262897188786572
246,21.0,1.0,4.67474372532783
247,22.0,-2.0,0.29558299999999976
248,22.0,-1.0,0.2892939999999998
249,22.0,0.0,0.42492044730451234
